sample_id,expert1_category,expert2_category,agreed
annotated_0001,theatrical,theatrical,True
annotated_0002,theatrical,theatrical,True
annotated_0003,occupational,occupational,True
annotated_0004,occupational,occupational,True
annotated_0005,transitional,transitional,True
annotated_0006,transitional,theatrical,False
annotated_0007,transitional,transitional,True
annotated_0008,transitional,transitional,True
annotated_0009,occupational,occupational,True
annotated_0010,theatrical,theatrical,True
annotated_0011,occupational,occupational,True
annotated_0012,theatrical,theatrical,True
annotated_0013,occupational,occupational,True
annotated_0014,theatrical,theatrical,True
annotated_0015,transitional,transitional,True
annotated_0016,transitional,transitional,True
annotated_0017,occupational,occupational,True
annotated_0018,transitional,transitional,True
annotated_0019,occupational,occupational,True
annotated_0020,theatrical,theatrical,True
annotated_0021,transitional,transitional,True
annotated_0022,theatrical,theatrical,True
annotated_0023,theatrical,theatrical,True
annotated_0024,transitional,transitional,True
annotated_0025,occupational,occupational,True
annotated_0026,transitional,transitional,True
annotated_0027,theatrical,theatrical,True
annotated_0028,occupational,transitional,False
annotated_0029,theatrical,theatrical,True
annotated_0030,transitional,occupational,False
annotated_0031,occupational,occupational,True
annotated_0032,transitional,transitional,True
annotated_0033,theatrical,theatrical,True
annotated_0034,transitional,transitional,True
annotated_0035,occupational,occupational,True
annotated_0036,occupational,occupational,True
annotated_0037,transitional,theatrical,False
annotated_0038,occupational,occupational,True
annotated_0039,theatrical,theatrical,True
annotated_0040,transitional,transitional,True
annotated_0041,occupational,occupational,True
annotated_0042,theatrical,theatrical,True
annotated_0043,occupational,transitional,False
annotated_0044,theatrical,theatrical,True
annotated_0045,occupational,occupational,True
annotated_0046,theatrical,theatrical,True
annotated_0047,theatrical,theatrical,True
annotated_0048,theatrical,theatrical,True
annotated_0049,transitional,transitional,True
annotated_0050,theatrical,theatrical,True
annotated_0051,occupational,transitional,False
annotated_0052,transitional,transitional,True
annotated_0053,transitional,transitional,True
annotated_0054,transitional,transitional,True
annotated_0055,theatrical,theatrical,True
annotated_0056,theatrical,theatrical,True
annotated_0057,transitional,occupational,False
annotated_0058,theatrical,theatrical,True
annotated_0059,theatrical,theatrical,True
annotated_0060,theatrical,theatrical,True
annotated_0061,transitional,transitional,True
annotated_0062,occupational,occupational,True
annotated_0063,occupational,occupational,True
annotated_0064,theatrical,theatrical,True
annotated_0065,transitional,transitional,True
annotated_0066,theatrical,theatrical,True
annotated_0067,theatrical,theatrical,True
annotated_0068,theatrical,theatrical,True
annotated_0069,theatrical,theatrical,True
annotated_0070,theatrical,theatrical,True
annotated_0071,occupational,occupational,True
annotated_0072,transitional,transitional,True
annotated_0073,transitional,transitional,True
annotated_0074,occupational,occupational,True
annotated_0075,theatrical,theatrical,True
annotated_0076,occupational,occupational,True
annotated_0077,theatrical,theatrical,True
annotated_0078,theatrical,theatrical,True
annotated_0079,transitional,transitional,True
annotated_0080,theatrical,theatrical,True
annotated_0081,transitional,transitional,True
annotated_0082,theatrical,theatrical,True
annotated_0083,transitional,transitional,True
annotated_0084,transitional,transitional,True
annotated_0085,transitional,transitional,True
annotated_0086,transitional,transitional,True
annotated_0087,theatrical,theatrical,True
annotated_0088,theatrical,theatrical,True
annotated_0089,occupational,occupational,True
annotated_0090,theatrical,theatrical,True
annotated_0091,theatrical,theatrical,True
annotated_0092,occupational,transitional,False
annotated_0093,transitional,transitional,True
annotated_0094,theatrical,theatrical,True
annotated_0095,theatrical,theatrical,True
annotated_0096,theatrical,theatrical,True
annotated_0097,occupational,occupational,True
annotated_0098,occupational,occupational,True
annotated_0099,occupational,occupational,True
annotated_0100,occupational,occupational,True
annotated_0101,theatrical,theatrical,True
annotated_0102,occupational,occupational,True
annotated_0103,transitional,transitional,True
annotated_0104,theatrical,theatrical,True
annotated_0105,theatrical,theatrical,True
annotated_0106,theatrical,theatrical,True
annotated_0107,occupational,occupational,True
annotated_0108,occupational,occupational,True
annotated_0109,occupational,occupational,True
annotated_0110,transitional,transitional,True
annotated_0111,transitional,transitional,True
annotated_0112,occupational,occupational,True
annotated_0113,occupational,occupational,True
annotated_0114,occupational,occupational,True
annotated_0115,theatrical,theatrical,True
annotated_0116,transitional,transitional,True
annotated_0117,transitional,transitional,True
annotated_0118,transitional,transitional,True
annotated_0119,theatrical,theatrical,True
annotated_0120,transitional,transitional,True
annotated_0121,occupational,occupational,True
annotated_0122,theatrical,theatrical,True
annotated_0123,transitional,transitional,True
annotated_0124,occupational,theatrical,False
annotated_0125,transitional,transitional,True
annotated_0126,occupational,transitional,False
annotated_0127,occupational,occupational,True
annotated_0128,transitional,transitional,True
annotated_0129,occupational,occupational,True
annotated_0130,transitional,transitional,True
annotated_0131,theatrical,theatrical,True
annotated_0132,theatrical,theatrical,True
annotated_0133,occupational,theatrical,False
annotated_0134,occupational,occupational,True
annotated_0135,transitional,transitional,True
annotated_0136,transitional,transitional,True
annotated_0137,occupational,occupational,True
annotated_0138,theatrical,theatrical,True
annotated_0139,occupational,occupational,True
annotated_0140,transitional,transitional,True
annotated_0141,theatrical,theatrical,True
annotated_0142,occupational,occupational,True
annotated_0143,transitional,transitional,True
annotated_0144,transitional,transitional,True
annotated_0145,occupational,occupational,True
annotated_0146,transitional,transitional,True
annotated_0147,transitional,transitional,True
annotated_0148,occupational,occupational,True
annotated_0149,theatrical,occupational,False
annotated_0150,theatrical,theatrical,True
annotated_0151,theatrical,theatrical,True
annotated_0152,transitional,transitional,True
annotated_0153,transitional,transitional,True
annotated_0154,theatrical,theatrical,True
annotated_0155,occupational,transitional,False
annotated_0156,transitional,transitional,True
annotated_0157,occupational,occupational,True
annotated_0158,theatrical,theatrical,True
annotated_0159,occupational,occupational,True
annotated_0160,occupational,occupational,True
annotated_0161,transitional,transitional,True
annotated_0162,transitional,transitional,True
annotated_0163,theatrical,theatrical,True
annotated_0164,theatrical,theatrical,True
annotated_0165,theatrical,theatrical,True
annotated_0166,transitional,transitional,True
annotated_0167,theatrical,theatrical,True
annotated_0168,transitional,transitional,True
annotated_0169,transitional,transitional,True
annotated_0170,theatrical,theatrical,True
annotated_0171,transitional,occupational,False
annotated_0172,theatrical,theatrical,True
annotated_0173,transitional,transitional,True
annotated_0174,transitional,transitional,True
annotated_0175,transitional,theatrical,False
annotated_0176,theatrical,theatrical,True
annotated_0177,transitional,occupational,False
annotated_0178,transitional,transitional,True
annotated_0179,theatrical,theatrical,True
annotated_0180,transitional,transitional,True
annotated_0181,occupational,occupational,True
annotated_0182,transitional,transitional,True
annotated_0183,transitional,transitional,True
annotated_0184,transitional,transitional,True
annotated_0185,transitional,occupational,False
annotated_0186,theatrical,theatrical,True
annotated_0187,transitional,transitional,True
annotated_0188,occupational,occupational,True
annotated_0189,theatrical,theatrical,True
annotated_0190,occupational,occupational,True
annotated_0191,theatrical,theatrical,True
annotated_0192,theatrical,theatrical,True
annotated_0193,transitional,transitional,True
annotated_0194,occupational,theatrical,False
annotated_0195,occupational,occupational,True
annotated_0196,theatrical,theatrical,True
annotated_0197,occupational,occupational,True
annotated_0198,occupational,occupational,True
annotated_0199,theatrical,theatrical,True
annotated_0200,occupational,occupational,True
annotated_0201,occupational,occupational,True
annotated_0202,theatrical,theatrical,True
annotated_0203,transitional,transitional,True
annotated_0204,theatrical,theatrical,True
annotated_0205,occupational,transitional,False
annotated_0206,occupational,occupational,True
annotated_0207,occupational,occupational,True
annotated_0208,occupational,occupational,True
annotated_0209,theatrical,theatrical,True
annotated_0210,occupational,occupational,True
annotated_0211,occupational,occupational,True
annotated_0212,transitional,transitional,True
annotated_0213,occupational,occupational,True
annotated_0214,theatrical,theatrical,True
annotated_0215,occupational,occupational,True
annotated_0216,occupational,occupational,True
annotated_0217,occupational,occupational,True
annotated_0218,transitional,transitional,True
annotated_0219,transitional,transitional,True
annotated_0220,occupational,occupational,True
annotated_0221,transitional,transitional,True
annotated_0222,transitional,transitional,True
annotated_0223,theatrical,theatrical,True
annotated_0224,theatrical,theatrical,True
annotated_0225,occupational,occupational,True
annotated_0226,occupational,occupational,True
annotated_0227,theatrical,theatrical,True
annotated_0228,occupational,occupational,True
annotated_0229,theatrical,theatrical,True
annotated_0230,transitional,transitional,True
annotated_0231,occupational,occupational,True
annotated_0232,theatrical,theatrical,True
annotated_0233,transitional,transitional,True
annotated_0234,transitional,transitional,True
annotated_0235,occupational,transitional,False
annotated_0236,transitional,transitional,True
annotated_0237,transitional,transitional,True
annotated_0238,transitional,transitional,True
annotated_0239,occupational,occupational,True
annotated_0240,occupational,occupational,True
annotated_0241,theatrical,transitional,False
annotated_0242,transitional,transitional,True
annotated_0243,transitional,transitional,True
annotated_0244,occupational,occupational,True
annotated_0245,transitional,transitional,True
annotated_0246,transitional,transitional,True
annotated_0247,transitional,transitional,True
annotated_0248,occupational,occupational,True
annotated_0249,transitional,transitional,True
annotated_0250,occupational,occupational,True
annotated_0251,transitional,transitional,True
annotated_0252,transitional,theatrical,False
annotated_0253,theatrical,theatrical,True
annotated_0254,occupational,occupational,True
annotated_0255,occupational,occupational,True
annotated_0256,occupational,occupational,True
annotated_0257,transitional,theatrical,False
annotated_0258,transitional,transitional,True
annotated_0259,theatrical,theatrical,True
annotated_0260,transitional,transitional,True
annotated_0261,occupational,occupational,True
annotated_0262,theatrical,theatrical,True
annotated_0263,transitional,transitional,True
annotated_0264,occupational,occupational,True
annotated_0265,transitional,transitional,True
annotated_0266,transitional,transitional,True
annotated_0267,occupational,occupational,True
annotated_0268,theatrical,theatrical,True
annotated_0269,occupational,occupational,True
annotated_0270,occupational,occupational,True
annotated_0271,transitional,transitional,True
annotated_0272,transitional,transitional,True
annotated_0273,occupational,occupational,True
annotated_0274,transitional,transitional,True
annotated_0275,theatrical,theatrical,True
annotated_0276,transitional,transitional,True
annotated_0277,occupational,occupational,True
annotated_0278,theatrical,theatrical,True
annotated_0279,occupational,theatrical,False
annotated_0280,occupational,transitional,False
annotated_0281,transitional,transitional,True
annotated_0282,theatrical,theatrical,True
annotated_0283,occupational,transitional,False
annotated_0284,theatrical,theatrical,True
annotated_0285,transitional,transitional,True
annotated_0286,theatrical,theatrical,True
annotated_0287,transitional,transitional,True
annotated_0288,theatrical,theatrical,True
annotated_0289,occupational,occupational,True
annotated_0290,occupational,occupational,True
annotated_0291,theatrical,theatrical,True
annotated_0292,transitional,theatrical,False
annotated_0293,occupational,occupational,True
annotated_0294,occupational,occupational,True
annotated_0295,theatrical,theatrical,True
annotated_0296,occupational,occupational,True
annotated_0297,transitional,transitional,True
annotated_0298,theatrical,theatrical,True
annotated_0299,theatrical,theatrical,True
annotated_0300,transitional,transitional,True
annotated_0301,theatrical,occupational,False
annotated_0302,occupational,occupational,True
annotated_0303,theatrical,occupational,False
annotated_0304,occupational,occupational,True
annotated_0305,theatrical,transitional,False
annotated_0306,theatrical,theatrical,True
annotated_0307,transitional,transitional,True
annotated_0308,occupational,occupational,True
annotated_0309,transitional,transitional,True
annotated_0310,occupational,occupational,True
annotated_0311,theatrical,theatrical,True
annotated_0312,occupational,occupational,True
annotated_0313,theatrical,theatrical,True
annotated_0314,transitional,transitional,True
annotated_0315,occupational,occupational,True
annotated_0316,theatrical,theatrical,True
annotated_0317,occupational,occupational,True
annotated_0318,theatrical,theatrical,True
annotated_0319,transitional,occupational,False
annotated_0320,transitional,transitional,True
annotated_0321,occupational,occupational,True
annotated_0322,theatrical,transitional,False
annotated_0323,occupational,theatrical,False
annotated_0324,occupational,occupational,True
annotated_0325,occupational,occupational,True
annotated_0326,occupational,occupational,True
annotated_0327,transitional,transitional,True
annotated_0328,occupational,occupational,True
annotated_0329,transitional,transitional,True
annotated_0330,transitional,transitional,True
annotated_0331,occupational,occupational,True
annotated_0332,transitional,transitional,True
annotated_0333,transitional,transitional,True
annotated_0334,transitional,transitional,True
annotated_0335,occupational,occupational,True
annotated_0336,theatrical,theatrical,True
annotated_0337,theatrical,theatrical,True
annotated_0338,occupational,occupational,True
annotated_0339,transitional,transitional,True
annotated_0340,transitional,transitional,True
annotated_0341,occupational,occupational,True
annotated_0342,transitional,transitional,True
annotated_0343,theatrical,theatrical,True
annotated_0344,transitional,transitional,True
annotated_0345,theatrical,theatrical,True
annotated_0346,transitional,transitional,True
annotated_0347,theatrical,occupational,False
annotated_0348,theatrical,theatrical,True
annotated_0349,transitional,transitional,True
annotated_0350,transitional,transitional,True
annotated_0351,occupational,occupational,True
annotated_0352,occupational,occupational,True
annotated_0353,theatrical,theatrical,True
annotated_0354,occupational,occupational,True
annotated_0355,transitional,transitional,True
annotated_0356,theatrical,theatrical,True
annotated_0357,transitional,transitional,True
annotated_0358,transitional,transitional,True
annotated_0359,occupational,occupational,True
annotated_0360,occupational,occupational,True
annotated_0361,occupational,occupational,True
annotated_0362,theatrical,theatrical,True
annotated_0363,transitional,transitional,True
annotated_0364,occupational,occupational,True
annotated_0365,theatrical,theatrical,True
annotated_0366,theatrical,occupational,False
annotated_0367,occupational,occupational,True
annotated_0368,occupational,occupational,True
annotated_0369,theatrical,theatrical,True
annotated_0370,transitional,transitional,True
annotated_0371,occupational,occupational,True
annotated_0372,occupational,occupational,True
annotated_0373,occupational,occupational,True
annotated_0374,transitional,theatrical,False
annotated_0375,transitional,transitional,True
annotated_0376,theatrical,theatrical,True
annotated_0377,transitional,transitional,True
annotated_0378,theatrical,theatrical,True
annotated_0379,theatrical,theatrical,True
annotated_0380,theatrical,transitional,False
annotated_0381,transitional,transitional,True
annotated_0382,occupational,occupational,True
annotated_0383,theatrical,theatrical,True
annotated_0384,occupational,occupational,True
annotated_0385,theatrical,occupational,False
annotated_0386,theatrical,theatrical,True
annotated_0387,occupational,occupational,True
annotated_0388,theatrical,theatrical,True
annotated_0389,theatrical,theatrical,True
annotated_0390,theatrical,theatrical,True
annotated_0391,transitional,transitional,True
annotated_0392,theatrical,theatrical,True
annotated_0393,theatrical,theatrical,True
annotated_0394,theatrical,theatrical,True
annotated_0395,theatrical,theatrical,True
annotated_0396,occupational,occupational,True
annotated_0397,transitional,transitional,True
annotated_0398,transitional,transitional,True
annotated_0399,transitional,transitional,True
annotated_0400,theatrical,theatrical,True
annotated_0401,theatrical,occupational,False
annotated_0402,occupational,occupational,True
annotated_0403,theatrical,theatrical,True
annotated_0404,transitional,transitional,True
annotated_0405,theatrical,theatrical,True
annotated_0406,occupational,occupational,True
annotated_0407,theatrical,transitional,False
annotated_0408,transitional,transitional,True
annotated_0409,occupational,occupational,True
annotated_0410,occupational,occupational,True
annotated_0411,transitional,transitional,True
annotated_0412,theatrical,theatrical,True
annotated_0413,transitional,transitional,True
annotated_0414,occupational,transitional,False
annotated_0415,occupational,occupational,True
annotated_0416,theatrical,theatrical,True
annotated_0417,occupational,occupational,True
annotated_0418,transitional,transitional,True
annotated_0419,occupational,occupational,True
annotated_0420,theatrical,theatrical,True
annotated_0421,theatrical,theatrical,True
annotated_0422,occupational,occupational,True
annotated_0423,transitional,transitional,True
annotated_0424,theatrical,theatrical,True
annotated_0425,transitional,transitional,True
annotated_0426,transitional,transitional,True
annotated_0427,theatrical,theatrical,True
annotated_0428,occupational,occupational,True
annotated_0429,theatrical,theatrical,True
annotated_0430,theatrical,occupational,False
annotated_0431,transitional,occupational,False
annotated_0432,theatrical,theatrical,True
annotated_0433,transitional,transitional,True
annotated_0434,theatrical,theatrical,True
annotated_0435,occupational,occupational,True
annotated_0436,transitional,transitional,True
annotated_0437,occupational,occupational,True
annotated_0438,transitional,transitional,True
annotated_0439,occupational,occupational,True
annotated_0440,transitional,transitional,True
annotated_0441,occupational,transitional,False
annotated_0442,occupational,occupational,True
annotated_0443,transitional,transitional,True
annotated_0444,transitional,transitional,True
annotated_0445,occupational,occupational,True
annotated_0446,transitional,transitional,True
annotated_0447,occupational,occupational,True
annotated_0448,theatrical,theatrical,True
annotated_0449,occupational,occupational,True
annotated_0450,theatrical,theatrical,True
annotated_0451,transitional,occupational,False
annotated_0452,occupational,occupational,True
annotated_0453,occupational,transitional,False
annotated_0454,occupational,occupational,True
annotated_0455,occupational,occupational,True
annotated_0456,transitional,transitional,True
annotated_0457,theatrical,occupational,False
annotated_0458,transitional,transitional,True
annotated_0459,theatrical,occupational,False
annotated_0460,theatrical,theatrical,True
annotated_0461,transitional,transitional,True
annotated_0462,transitional,transitional,True
annotated_0463,theatrical,theatrical,True
annotated_0464,occupational,occupational,True
annotated_0465,transitional,transitional,True
annotated_0466,transitional,occupational,False
annotated_0467,theatrical,theatrical,True
annotated_0468,transitional,transitional,True
annotated_0469,theatrical,theatrical,True
annotated_0470,occupational,occupational,True
annotated_0471,occupational,occupational,True
annotated_0472,transitional,transitional,True
annotated_0473,theatrical,theatrical,True
annotated_0474,theatrical,theatrical,True
annotated_0475,theatrical,theatrical,True
annotated_0476,transitional,transitional,True
