sample_id,category,original_label,expert1,expert2,agreement
removed_0001,transitional,fall,non-fall,non-fall,True
removed_0002,occupational,fall,fall,fall,True
removed_0003,theatrical,non-fall,non-fall,fall,False
removed_0004,occupational,fall,non-fall,non-fall,True
removed_0005,transitional,non-fall,fall,fall,True
removed_0006,occupational,non-fall,non-fall,non-fall,True
removed_0007,theatrical,fall,fall,fall,True
removed_0008,occupational,fall,fall,fall,True
removed_0009,occupational,non-fall,fall,non-fall,False
removed_0010,theatrical,fall,fall,fall,True
removed_0011,theatrical,fall,non-fall,non-fall,True
removed_0012,transitional,non-fall,fall,fall,True
removed_0013,transitional,non-fall,fall,non-fall,False
removed_0014,transitional,fall,non-fall,non-fall,True
removed_0015,transitional,fall,fall,fall,True
removed_0016,theatrical,fall,non-fall,non-fall,True
removed_0017,theatrical,non-fall,non-fall,non-fall,True
removed_0018,theatrical,fall,fall,fall,True
removed_0019,occupational,non-fall,fall,fall,True
removed_0020,theatrical,fall,non-fall,non-fall,True
removed_0021,occupational,non-fall,non-fall,non-fall,True
removed_0022,theatrical,fall,fall,non-fall,False
removed_0023,transitional,fall,fall,fall,True
removed_0024,occupational,fall,non-fall,non-fall,True
removed_0025,theatrical,non-fall,non-fall,fall,False
removed_0026,transitional,fall,non-fall,non-fall,True
removed_0027,transitional,fall,fall,fall,True
removed_0028,occupational,non-fall,fall,non-fall,False
removed_0029,transitional,fall,fall,non-fall,False
removed_0030,occupational,fall,non-fall,non-fall,True
removed_0031,transitional,non-fall,non-fall,non-fall,True
removed_0032,transitional,fall,non-fall,non-fall,True
removed_0033,transitional,fall,non-fall,non-fall,True
removed_0034,theatrical,non-fall,fall,fall,True
removed_0035,theatrical,non-fall,non-fall,non-fall,True
removed_0036,theatrical,fall,fall,fall,True
removed_0037,theatrical,fall,non-fall,non-fall,True
removed_0038,occupational,fall,non-fall,non-fall,True
removed_0039,theatrical,non-fall,non-fall,fall,False
removed_0040,occupational,fall,non-fall,non-fall,True
removed_0041,theatrical,non-fall,fall,fall,True
removed_0042,occupational,non-fall,non-fall,non-fall,True
removed_0043,theatrical,non-fall,non-fall,non-fall,True
removed_0044,transitional,fall,non-fall,fall,False
removed_0045,theatrical,fall,non-fall,non-fall,True
removed_0046,theatrical,non-fall,fall,fall,True
removed_0047,transitional,fall,non-fall,non-fall,True
removed_0048,theatrical,non-fall,non-fall,non-fall,True
removed_0049,theatrical,fall,non-fall,non-fall,True
removed_0050,theatrical,non-fall,non-fall,non-fall,True
removed_0051,occupational,non-fall,fall,fall,True
removed_0052,transitional,non-fall,fall,fall,True
removed_0053,theatrical,non-fall,non-fall,non-fall,True
removed_0054,theatrical,fall,non-fall,non-fall,True
removed_0055,occupational,non-fall,non-fall,non-fall,True
removed_0056,theatrical,non-fall,fall,fall,True
removed_0057,occupational,fall,fall,fall,True
removed_0058,transitional,non-fall,fall,fall,True
removed_0059,occupational,fall,non-fall,non-fall,True
removed_0060,theatrical,fall,fall,fall,True
removed_0061,occupational,fall,non-fall,non-fall,True
removed_0062,theatrical,fall,non-fall,non-fall,True
removed_0063,theatrical,fall,non-fall,non-fall,True
removed_0064,occupational,fall,fall,fall,True
removed_0065,occupational,fall,fall,fall,True
removed_0066,transitional,fall,fall,fall,True
removed_0067,transitional,non-fall,fall,fall,True
removed_0068,theatrical,fall,non-fall,non-fall,True
removed_0069,transitional,non-fall,non-fall,fall,False
removed_0070,transitional,non-fall,non-fall,non-fall,True
removed_0071,transitional,non-fall,fall,fall,True
removed_0072,occupational,non-fall,non-fall,non-fall,True
removed_0073,transitional,fall,non-fall,non-fall,True
removed_0074,theatrical,non-fall,fall,fall,True
removed_0075,theatrical,fall,non-fall,non-fall,True
removed_0076,occupational,non-fall,non-fall,non-fall,True
removed_0077,occupational,fall,fall,fall,True
removed_0078,occupational,non-fall,fall,fall,True
removed_0079,theatrical,fall,non-fall,non-fall,True
removed_0080,transitional,non-fall,non-fall,non-fall,True
removed_0081,occupational,non-fall,non-fall,fall,False
removed_0082,theatrical,fall,non-fall,non-fall,True
removed_0083,transitional,non-fall,non-fall,non-fall,True
removed_0084,occupational,non-fall,fall,fall,True
removed_0085,transitional,non-fall,non-fall,non-fall,True
removed_0086,theatrical,non-fall,non-fall,non-fall,True
removed_0087,occupational,non-fall,fall,fall,True
removed_0088,theatrical,fall,fall,non-fall,False
removed_0089,transitional,fall,fall,fall,True
removed_0090,transitional,fall,non-fall,non-fall,True
removed_0091,occupational,non-fall,non-fall,non-fall,True
removed_0092,transitional,non-fall,non-fall,non-fall,True
removed_0093,occupational,non-fall,non-fall,non-fall,True
removed_0094,occupational,non-fall,non-fall,non-fall,True
removed_0095,theatrical,non-fall,fall,fall,True
removed_0096,theatrical,fall,non-fall,non-fall,True
removed_0097,theatrical,fall,fall,fall,True
removed_0098,occupational,fall,fall,fall,True
removed_0099,transitional,fall,fall,fall,True
removed_0100,occupational,fall,fall,fall,True
removed_0101,occupational,non-fall,non-fall,non-fall,True
removed_0102,theatrical,fall,fall,non-fall,False
removed_0103,transitional,fall,fall,non-fall,False
removed_0104,theatrical,non-fall,non-fall,fall,False
removed_0105,theatrical,fall,fall,fall,True
removed_0106,transitional,fall,fall,fall,True
removed_0107,transitional,non-fall,fall,fall,True
removed_0108,transitional,fall,non-fall,non-fall,True
removed_0109,occupational,non-fall,fall,fall,True
removed_0110,theatrical,non-fall,fall,fall,True
removed_0111,transitional,non-fall,fall,fall,True
removed_0112,transitional,non-fall,non-fall,non-fall,True
removed_0113,transitional,non-fall,fall,fall,True
removed_0114,transitional,non-fall,non-fall,non-fall,True
removed_0115,occupational,non-fall,non-fall,non-fall,True
removed_0116,theatrical,fall,non-fall,non-fall,True
removed_0117,transitional,fall,non-fall,non-fall,True
removed_0118,transitional,non-fall,non-fall,non-fall,True
removed_0119,theatrical,non-fall,fall,fall,True
removed_0120,occupational,non-fall,non-fall,non-fall,True
removed_0121,transitional,non-fall,fall,fall,True
removed_0122,transitional,fall,fall,fall,True
removed_0123,transitional,non-fall,non-fall,non-fall,True
removed_0124,theatrical,fall,non-fall,non-fall,True
removed_0125,transitional,non-fall,non-fall,non-fall,True
removed_0126,occupational,fall,non-fall,non-fall,True
removed_0127,theatrical,fall,non-fall,non-fall,True
removed_0128,transitional,non-fall,non-fall,non-fall,True
removed_0129,transitional,non-fall,non-fall,fall,False
removed_0130,transitional,non-fall,non-fall,non-fall,True
removed_0131,transitional,non-fall,non-fall,non-fall,True
removed_0132,theatrical,fall,fall,fall,True
removed_0133,occupational,fall,fall,fall,True
removed_0134,occupational,non-fall,non-fall,non-fall,True
removed_0135,theatrical,non-fall,fall,fall,True
removed_0136,theatrical,non-fall,fall,fall,True
removed_0137,occupational,non-fall,fall,fall,True
removed_0138,theatrical,fall,non-fall,non-fall,True
removed_0139,theatrical,fall,non-fall,non-fall,True
removed_0140,transitional,fall,non-fall,non-fall,True
removed_0141,transitional,fall,non-fall,non-fall,True
removed_0142,theatrical,non-fall,non-fall,non-fall,True
removed_0143,theatrical,fall,non-fall,fall,False
removed_0144,occupational,non-fall,fall,fall,True
removed_0145,occupational,non-fall,non-fall,non-fall,True
removed_0146,theatrical,fall,fall,fall,True
removed_0147,transitional,non-fall,fall,non-fall,False
removed_0148,theatrical,fall,non-fall,non-fall,True
removed_0149,transitional,fall,non-fall,non-fall,True
removed_0150,occupational,non-fall,non-fall,non-fall,True
removed_0151,occupational,non-fall,non-fall,non-fall,True
removed_0152,transitional,fall,fall,non-fall,False
removed_0153,theatrical,fall,fall,fall,True
removed_0154,transitional,fall,fall,fall,True
removed_0155,theatrical,fall,fall,fall,True
removed_0156,transitional,non-fall,non-fall,non-fall,True
removed_0157,occupational,fall,non-fall,non-fall,True
removed_0158,theatrical,non-fall,fall,fall,True
removed_0159,theatrical,non-fall,fall,fall,True
removed_0160,occupational,fall,fall,non-fall,False
removed_0161,theatrical,fall,fall,fall,True
removed_0162,occupational,non-fall,non-fall,non-fall,True
removed_0163,occupational,non-fall,non-fall,non-fall,True
removed_0164,theatrical,non-fall,non-fall,non-fall,True
removed_0165,transitional,fall,non-fall,non-fall,True
removed_0166,occupational,non-fall,fall,fall,True
removed_0167,transitional,fall,non-fall,non-fall,True
removed_0168,theatrical,fall,non-fall,non-fall,True
removed_0169,transitional,non-fall,non-fall,non-fall,True
removed_0170,theatrical,non-fall,non-fall,fall,False
removed_0171,occupational,non-fall,non-fall,non-fall,True
removed_0172,transitional,non-fall,fall,fall,True
removed_0173,occupational,non-fall,non-fall,non-fall,True
removed_0174,theatrical,non-fall,non-fall,non-fall,True
removed_0175,transitional,fall,non-fall,non-fall,True
removed_0176,theatrical,non-fall,non-fall,non-fall,True
removed_0177,occupational,non-fall,fall,fall,True
removed_0178,theatrical,non-fall,non-fall,non-fall,True
removed_0179,transitional,non-fall,non-fall,non-fall,True
removed_0180,transitional,fall,fall,fall,True
removed_0181,occupational,fall,non-fall,non-fall,True
removed_0182,transitional,non-fall,fall,fall,True
removed_0183,transitional,fall,fall,fall,True
removed_0184,transitional,fall,non-fall,non-fall,True
removed_0185,occupational,fall,non-fall,fall,False
removed_0186,theatrical,fall,non-fall,fall,False
removed_0187,transitional,non-fall,non-fall,non-fall,True
removed_0188,transitional,non-fall,non-fall,non-fall,True
removed_0189,occupational,fall,non-fall,non-fall,True
removed_0190,theatrical,fall,fall,fall,True
removed_0191,theatrical,non-fall,non-fall,fall,False
removed_0192,transitional,non-fall,fall,fall,True
removed_0193,transitional,non-fall,non-fall,non-fall,True
removed_0194,occupational,non-fall,non-fall,non-fall,True
removed_0195,occupational,non-fall,non-fall,fall,False
removed_0196,occupational,fall,fall,fall,True
removed_0197,transitional,fall,non-fall,non-fall,True
removed_0198,theatrical,non-fall,non-fall,non-fall,True
removed_0199,transitional,fall,non-fall,fall,False
removed_0200,occupational,fall,non-fall,non-fall,True
removed_0201,theatrical,non-fall,fall,fall,True
removed_0202,occupational,non-fall,fall,fall,True
removed_0203,occupational,non-fall,fall,fall,True
removed_0204,occupational,non-fall,non-fall,non-fall,True
removed_0205,occupational,non-fall,fall,fall,True
removed_0206,occupational,non-fall,non-fall,non-fall,True
removed_0207,occupational,non-fall,fall,fall,True
removed_0208,transitional,fall,non-fall,fall,False
removed_0209,transitional,fall,non-fall,fall,False
removed_0210,theatrical,fall,non-fall,non-fall,True
removed_0211,theatrical,non-fall,fall,fall,True
removed_0212,occupational,fall,non-fall,non-fall,True
removed_0213,occupational,non-fall,fall,fall,True
removed_0214,transitional,non-fall,fall,fall,True
removed_0215,occupational,fall,non-fall,non-fall,True
removed_0216,occupational,fall,non-fall,fall,False
removed_0217,transitional,fall,fall,fall,True
removed_0218,transitional,non-fall,non-fall,non-fall,True
removed_0219,transitional,fall,non-fall,fall,False
removed_0220,occupational,fall,fall,fall,True
removed_0221,theatrical,non-fall,non-fall,non-fall,True
removed_0222,transitional,non-fall,non-fall,non-fall,True
removed_0223,theatrical,non-fall,fall,non-fall,False
removed_0224,theatrical,non-fall,fall,fall,True
removed_0225,theatrical,non-fall,non-fall,fall,False
removed_0226,occupational,non-fall,fall,non-fall,False
removed_0227,theatrical,non-fall,non-fall,non-fall,True
removed_0228,occupational,fall,non-fall,non-fall,True
removed_0229,theatrical,non-fall,fall,fall,True
removed_0230,theatrical,non-fall,fall,fall,True
removed_0231,occupational,non-fall,fall,fall,True
removed_0232,occupational,fall,non-fall,non-fall,True
removed_0233,transitional,fall,non-fall,non-fall,True
removed_0234,transitional,fall,non-fall,non-fall,True
removed_0235,occupational,non-fall,fall,fall,True
removed_0236,theatrical,non-fall,non-fall,non-fall,True
removed_0237,transitional,non-fall,non-fall,fall,False
removed_0238,transitional,non-fall,non-fall,non-fall,True
removed_0239,occupational,non-fall,fall,fall,True
removed_0240,transitional,fall,non-fall,fall,False
removed_0241,theatrical,non-fall,fall,fall,True
removed_0242,theatrical,fall,non-fall,non-fall,True
removed_0243,occupational,non-fall,non-fall,non-fall,True
removed_0244,theatrical,non-fall,non-fall,non-fall,True
removed_0245,theatrical,non-fall,fall,fall,True
removed_0246,transitional,non-fall,fall,fall,True
removed_0247,transitional,non-fall,fall,fall,True
removed_0248,theatrical,non-fall,non-fall,non-fall,True
removed_0249,occupational,fall,fall,fall,True
removed_0250,occupational,fall,non-fall,fall,False
removed_0251,theatrical,fall,fall,fall,True
removed_0252,occupational,fall,non-fall,non-fall,True
removed_0253,transitional,non-fall,fall,fall,True
removed_0254,transitional,fall,non-fall,non-fall,True
removed_0255,occupational,non-fall,fall,fall,True
removed_0256,occupational,fall,non-fall,non-fall,True
removed_0257,theatrical,fall,non-fall,non-fall,True
removed_0258,occupational,non-fall,non-fall,non-fall,True
removed_0259,occupational,non-fall,fall,non-fall,False
removed_0260,theatrical,non-fall,fall,fall,True
removed_0261,occupational,fall,fall,fall,True
removed_0262,transitional,fall,fall,fall,True
removed_0263,transitional,fall,fall,fall,True
removed_0264,transitional,fall,fall,fall,True
removed_0265,theatrical,fall,non-fall,non-fall,True
removed_0266,transitional,fall,non-fall,non-fall,True
removed_0267,transitional,fall,fall,fall,True
removed_0268,occupational,fall,fall,fall,True
removed_0269,occupational,fall,fall,fall,True
removed_0270,theatrical,fall,non-fall,non-fall,True
removed_0271,theatrical,non-fall,fall,fall,True
removed_0272,theatrical,non-fall,fall,fall,True
removed_0273,occupational,non-fall,non-fall,non-fall,True
removed_0274,occupational,fall,non-fall,non-fall,True
removed_0275,theatrical,fall,non-fall,non-fall,True
removed_0276,occupational,fall,fall,non-fall,False
removed_0277,theatrical,non-fall,non-fall,non-fall,True
removed_0278,transitional,non-fall,non-fall,non-fall,True
removed_0279,transitional,fall,non-fall,non-fall,True
removed_0280,theatrical,fall,fall,fall,True
removed_0281,occupational,non-fall,non-fall,fall,False
removed_0282,occupational,non-fall,non-fall,non-fall,True
removed_0283,occupational,non-fall,fall,fall,True
removed_0284,theatrical,fall,fall,fall,True
removed_0285,occupational,fall,non-fall,non-fall,True
removed_0286,transitional,non-fall,non-fall,non-fall,True
removed_0287,transitional,fall,non-fall,non-fall,True
removed_0288,occupational,non-fall,non-fall,fall,False
removed_0289,occupational,non-fall,fall,fall,True
removed_0290,theatrical,fall,fall,fall,True
removed_0291,transitional,non-fall,fall,fall,True
removed_0292,occupational,non-fall,fall,fall,True
removed_0293,transitional,non-fall,fall,non-fall,False
removed_0294,theatrical,non-fall,non-fall,non-fall,True
removed_0295,theatrical,fall,fall,fall,True
removed_0296,occupational,fall,fall,fall,True
removed_0297,transitional,non-fall,fall,fall,True
removed_0298,occupational,fall,non-fall,non-fall,True
removed_0299,occupational,fall,non-fall,non-fall,True
removed_0300,transitional,non-fall,non-fall,fall,False
removed_0301,theatrical,non-fall,fall,fall,True
removed_0302,transitional,fall,non-fall,non-fall,True
removed_0303,theatrical,fall,fall,fall,True
removed_0304,transitional,fall,non-fall,non-fall,True
removed_0305,occupational,non-fall,fall,fall,True
removed_0306,occupational,non-fall,fall,fall,True
removed_0307,theatrical,fall,fall,fall,True
removed_0308,theatrical,fall,fall,fall,True
removed_0309,theatrical,non-fall,non-fall,non-fall,True
removed_0310,transitional,non-fall,non-fall,non-fall,True
removed_0311,transitional,fall,non-fall,non-fall,True
removed_0312,theatrical,non-fall,non-fall,non-fall,True
removed_0313,transitional,non-fall,fall,fall,True
removed_0314,theatrical,fall,fall,fall,True
removed_0315,theatrical,fall,fall,fall,True
removed_0316,occupational,non-fall,non-fall,non-fall,True
removed_0317,occupational,non-fall,non-fall,non-fall,True
removed_0318,occupational,non-fall,fall,fall,True
removed_0319,theatrical,non-fall,fall,fall,True
removed_0320,theatrical,fall,non-fall,non-fall,True
